timestamp,mac_address,ssid,freq,signal,vendor_name,guessed_name,first_seen,last_seen,seen_count,num_disconnects,avg_connection_duration,mobility_score,heat_score
2025-04-10T16:16:58.405778+00:00,C6,Endless:5C\:76\:95\:2F\:01\,2462 MHz,79,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,CC,peppercorn13:8C\:76\:3F\:D1\:07\,2412 MHz,77,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,3,0,0.0,0,0.25
2025-04-10T16:16:58.405778+00:00,CB,:5C\:76\:95\:2F\:01\,2462 MHz,77,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,D4,:5C\:76\:95\:2F\:01\,5785 MHz,77,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,CE,Endless:5C\:76\:95\:2F\:01\,5785 MHz,77,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,D3,:5C\:76\:95\:2F\:01\,5785 MHz,77,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,D1,:5C\:76\:95\:2F\:01\,5785 MHz,75,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,20,BigEscape:BC\:DF\:58\:F5\:76\,2437 MHz,70,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,67,:72\:13\:01\:EB\:6B\,2462 MHz,69,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,61,NadiRaq:72\:13\:01\:EB\:6B\,2462 MHz,67,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,66,:72\:13\:01\:EB\:6B\,2462 MHz,67,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,DE,CBCI-E1DD:00\:CB\:7A\:70\:D9\,2462 MHz,67,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,C6,KennyandGarth:1C\:93\:7C\:13\:42\,2412 MHz,62,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,2,0,0.0,0,0.333
2025-04-10T16:16:58.405778+00:00,C6,:16\:93\:7C\:13\:42\,2412 MHz,62,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,3,0,0.0,0,0.25
2025-04-10T16:16:58.405778+00:00,C6,:0E\:93\:7C\:13\:42\,2412 MHz,60,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,4,0,0.0,0,0.2
2025-04-10T16:16:58.405778+00:00,6C,Verizon_9SN49R-Other:BE\:F8\:7E\:96\:06\,2412 MHz,55,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,1,0,0,0,1
2025-04-10T16:16:58.405778+00:00,6C,Verizon_9SN49R:BC\:F8\:7E\:96\:06\,2412 MHz,52,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:16:58.405778+00:00,2,0,0.0,0,0.333
